region,total,oil,coal,gas,coke,gasoline,diesel_oil,fuel_oil,electricity,kerosene
Beijing,2045.514397,,458.044875,,161.388396,401.03007,520.353264,42.257988,298.21685,164.222954
Tianjin,5023.744008,3281.437056,,173.6449,298.783212,200.713674,483.852534,26.157666,510.98133,48.173636
Hebei,15013.87591,855.859974,6067.678494,131.99441,4663.040562,404.988136,689.070924,49.386702,2141.48334,10.37337
Shanxi,52161.78177,,42396.54791,,7462.333656,,,,2302.9002,
Inner Mongolia,47656.2506,,42899.75084,,1785.812046,73.05501,73.044318,68.71566,2755.87273,
Liaoning,15110.16084,1428.628572,4731.644631,98.3583,1822.8321,1535.508898,3002.031468,721.214424,1428.72479,341.21766
Jilin,6012.943566,914.16114,3143.962878,141.10166,411.659892,223.167238,458.409168,54.57252,665.90907,
Heilongjiang,15742.90726,5715.40002,6249.210696,364.77572,940.324914,633.481842,841.65969,67.672782,888.50555,41.876044
Shanghai,3259.990414,13.00026,,48.93629,641.891406,382.622856,975.205218,21.64329,956.4078,220.283294
Jiangsu,8752.860994,262.905258,1712.491392,6.92151,1178.152776,468.258336,1073.02146,221.275854,3599.01589,230.818518
Zhejiang,5022.715512,,9.42876,,223.120866,472.790248,1179.866454,161.888952,2760.67812,214.942112
Anhui,11982.63211,,9177.719265,,751.028196,143.446786,264.190998,23.671902,1622.57496,
Fujian,3977.520447,,1761.556659,,114.557202,180.069932,390.7221,44.315172,1438.80259,47.496792
Jiangxi,3834.921337,,2130.378321,,608.154684,142.093098,267.819642,31.529202,654.94639,
Shandong,25871.72244,4040.380806,10270.0054,109.89415,3038.519772,1415.78108,2769.41253,612.812256,3514.8171,100.099342
Henan,22889.59369,677.8707,16441.84312,359.18994,2101.196484,278.68316,410.022486,22.043298,2526.16034,72.584162
Hubei,4830.790923,115.559454,756.050835,20.27881,814.13034,318.543386,514.410288,22.814742,2234.39574,34.607328
Hunan,7034.679605,,4694.986755,,543.440016,195.91691,307.191858,24.14334,1263.35055,5.650176
Guangdong,9514.515766,1921.667004,,709.51549,185.469402,792.702036,1839.122496,237.561894,3389.10269,439.374754
Guangxi,2039.083962,4.128654,371.235996,,349.869138,55.780774,64.07271,29.00058,1160.72905,4.26706
Hainan,1168.362758,26.229096,,22.58598,,388.905734,487.695468,34.043538,156.77124,52.131702
Chongqing,3941.360551,,3064.911297,7.2858,285.795594,,0.42858,,582.93928,
Sichuan,12144.90712,30.972048,6426.799962,2350.39908,1133.604372,102.11516,146.688648,12.78597,1940.32062,1.221262
Guizhou,12235.66472,,9779.295582,1.45716,758.867394,,,,1696.04458,
Yunnan,6833.98721,,3979.551018,0.24286,1414.863528,,,0.342864,1438.98694,
Shaanxi,31716.34508,3851.348454,21151.23016,2301.34136,1287.105,774.265394,1145.180046,61.28694,1117.08726,27.500466
Gansu,5402.773829,70.329978,2768.333937,3.52147,237.691866,462.667016,916.918338,12.543108,856.18285,74.585266
Qinghai,2399.834787,266.248182,916.882623,522.99901,137.375388,34.754468,53.243922,3.842934,464.48826,
Ningxia,5019.697177,4.485804,3935.457279,,269.816064,102.085732,114.202284,3.914364,589.73565,
Xinjiang,15264.1761,3589.871796,5461.5378,2979.77077,873.72573,404.002298,1193.995308,41.057964,674.80703,45.407404
